Cluster Index	Z	x	y	z	
9	3.97	-10.5	-40.5	53.5
9	3.84	13.5	-24.5	31.5
9	3.75	-12.5	-40.5	25.5
9	3.73	-4.5	-34.5	23.5
9	3.71	-20.5	-26.5	11.5
9	3.7	3.5	-32.5	51.5
8	4.24	-18.5	-56.5	15.5
8	4.2	-32.5	-50.5	-10.5
8	4.17	-32.5	-44.5	-12.5
8	3.84	-34.5	-40.5	-6.5
8	3.78	-28.5	-40.5	1.5
8	3.5	-6.5	-44.5	-0.5
7	4.2	-46.5	-6.5	5.5
7	3.64	-32.5	11.5	-0.5
7	3.46	-34.5	9.5	-8.5
7	3.41	-38.5	7.5	-4.5
7	3.39	-34.5	3.5	9.5
7	3.37	-30.5	15.5	7.5
6	4.21	-38.5	-32.5	39.5
6	4.15	-48.5	-38.5	45.5
6	4.13	-40.5	-30.5	43.5
6	3.94	-32.5	-46.5	51.5
6	3.83	-48.5	-38.5	57.5
6	3.5	-38.5	-44.5	47.5
5	3.5	17.5	45.5	31.5
5	3.46	5.5	47.5	29.5
5	3.46	23.5	41.5	41.5
5	3.46	21.5	43.5	29.5
5	3.4	23.5	57.5	23.5
5	3.39	21.5	39.5	33.5
4	4.14	-32.5	41.5	33.5
4	3.96	-20.5	47.5	41.5
4	3.88	-20.5	43.5	37.5
4	3.56	-28.5	45.5	33.5
4	3.34	-8.5	51.5	43.5
4	3.18	-16.5	45.5	35.5
3	3.48	-36.5	-12.5	-30.5
3	3.43	-30.5	-4.5	-16.5
3	3.26	-42.5	-14.5	-26.5
3	3.26	-24.5	-2.5	-20.5
3	3.15	-34.5	-8.5	-22.5
3	2.5	-24.5	-8.5	-20.5
2	4.72	-58.5	-34.5	27.5
2	3.84	-66.5	-24.5	33.5
2	3.54	-60.5	-44.5	33.5
2	3.36	-58.5	-32.5	35.5
2	3.23	-52.5	-26.5	45.5
2	3.15	-62.5	-34.5	31.5
1	3.37	-34.5	31.5	1.5
1	3.28	-36.5	35.5	-2.5
1	3.18	-42.5	43.5	7.5
1	3.16	-36.5	25.5	7.5
1	3.05	-40.5	21.5	11.5
1	2.97	-38.5	37.5	5.5
